filename	sha256	bytes	real_type	source_url
local-council-elections-2023-result-sheet-mid-tyrone.pdf	931930a98c48b1e68255452c5e6f825b367414ca2fa9dd7001f0eac306c23a6a	74698	PDF document	https://www.eoni.org.uk/media/i3hbwtbl/local-council-elections-2023-result-sheet-mid-tyrone.pdf
local-council-elections-2023-result-sheet-banbridge.pdf	544730b44eeeebcd91f095622fc31156802697a72646a8e43c1050fb8d93c55f	89666	PDF document	https://www.eoni.org.uk/media/if2lkuhg/local-council-elections-2023-result-sheet-banbridge.pdf
local-council-elections-2023-result-sheet-downpatrick.pdf	a38cafaea69c7cfe2f7ab592d915b21c33b74fcfaf88f3030920a0116d76c119	51032	PDF document	https://www.eoni.org.uk/media/ig0bch24/local-council-elections-2023-result-sheet-downpatrick.pdf
local-council-elections-2023-result-sheet-killultagh.xlsx	2313132e3c74757038285e3d174594e0894e6683c79c3653f8a7a5ead0e09ca3	48363	Microsoft Excel 2007+	https://www.eoni.org.uk/media/iq1dpifn/local-council-elections-2023-result-sheet-killultagh.xlsx
local-council-elections-2023-result-sheet-omagh.pdf	bad57702606b6967ec901350315636271cdefabdfa08ae1a049c5482cb0430f6	82234	PDF document	https://www.eoni.org.uk/media/ixwfplb4/local-council-elections-2023-result-sheet-omagh.pdf
local-council-elections-2023-result-sheet-magherafelt.pdf	de20c6d6ffe42b658547aa2144b07333dfc7e98cb88017fce5ba6eb7dcccd050	124611	PDF document	https://www.eoni.org.uk/media/jxikawfg/local-council-elections-2023-result-sheet-magherafelt.pdf
local-council-elections-2023-result-sheet-derg.xlsx	b029214c3212c6a4d1d9c4c872dffb22075e39a0790b4f92d1c00c01f7600953	45898	Microsoft Excel 2007+	https://www.eoni.org.uk/media/kbqddbh1/local-council-elections-2023-result-sheet-derg.xlsx
local-council-elections-2023-result-sheet-carrick-castle.pdf	815a3b5d91080c3df6ac427891f1c046a45f1d4d88e945a4304d03bad354be15	200060	PDF document	https://www.eoni.org.uk/media/kuimwqdv/local-council-elections-2023-result-sheet-carrick-castle.pdf
local-council-elections-2023-result-sheet-carntogher.pdf	679dbc45ce98f72aedbd145b9997ab03e43ded39f1ffb1e31e4041d5f0e4d4b4	124185	PDF document	https://www.eoni.org.uk/media/lc2fqrh3/local-council-elections-2023-result-sheet-carntogher.pdf
local-council-elections-2023-result-sheet-crotlieve.pdf	40c5546699eaab543067a9905000bb4bb13028db83ead7aeedc1765092766ef0	216996	PDF document	https://www.eoni.org.uk/media/lfrngqjy/local-council-elections-2023-result-sheet-crotlieve.pdf
local-council-elections-2023-result-sheet-moyola.pdf	c165f44e87c84d9bc7cdceefcb440961299d4b6b294a533e69492121bbb0ea2f	123571	PDF document	https://www.eoni.org.uk/media/mmnjwax0/local-council-elections-2023-result-sheet-moyola.pdf
local-council-elections-2023-result-sheet-cookstown.pdf	38dad094ed909e55a3828d39576b1b32ed855e4802766326d0e78de1623112dc	132626	PDF document	https://www.eoni.org.uk/media/myjf5sc3/local-council-elections-2023-result-sheet-cookstown.pdf
local-council-elections-2023-result-sheet-lisburn-north.xlsx	2f7783610174f998e215491391aa01af90af95f105aa9429a760030fdc0bd10c	44901	Microsoft Excel 2007+	https://www.eoni.org.uk/media/nuepusez/local-council-elections-2023-result-sheet-lisburn-north.xlsx
local-council-elections-2023-result-sheet-craigavon.pdf	709147f32a315f532668e0dba77094576592af8491338b91a3f0921e2476e365	114551	PDF document	https://www.eoni.org.uk/media/owtbsoh3/local-council-elections-2023-result-sheet-craigavon.pdf
local-council-elections-2023-result-sheet-limavady.pdf	9b1c946637b6ef134d37989aa61f70759cb1910a863a1ec34a338ad8a4e4d703	42631	PDF document	https://www.eoni.org.uk/media/ppoprso1/local-council-elections-2023-result-sheet-limavady.pdf
local-council-elections-2023-result-sheet-armagh.pdf	ac46fc2a7644156e75f7a71c065b7f4d86155fad21eae1bd17cc5083b156951b	88791	PDF document	https://www.eoni.org.uk/media/pxnfamf0/local-council-elections-2023-result-sheet-armagh.pdf
local-council-elections-2023-result-sheet-erne-west.pdf	6dd669120608474a417898b06a3a3acc275c6d9adb0cf1a32b38eff7b2679fd3	65431	PDF document	https://www.eoni.org.uk/media/qfvnrfbm/local-council-elections-2023-result-sheet-erne-west.pdf
local-council-elections-2023-result-sheet-knockagh.pdf	91ae404ea03ad7420db7c6a18d22dc03eab8b493bd6df7dd933c94a063964710	201384	PDF document	https://www.eoni.org.uk/media/qjdjm4yf/local-council-elections-2023-result-sheet-knockagh.pdf
local-council-elections-2023-result-sheet-sperrin.xlsx	3d03a9086c9abca74e00b3b11a9ce0b6e69cf92beb62de0b875800138c9d1a7b	54468	Microsoft Excel 2007+	https://www.eoni.org.uk/media/qu4erbbm/local-council-elections-2023-result-sheet-sperrin.xlsx
local-council-elections-2023-result-sheet-portadown.pdf	3e9c8ed48324241c5f4c5872b71e63008c5da7dffd35f760397fcd01d72b175a	119642	PDF document	https://www.eoni.org.uk/media/qukj4uwn/local-council-elections-2023-result-sheet-portadown.pdf
local-council-elections-2023-result-sheet-dungannon.pdf	e5e7cad61189c0d42ee97e9b671576a700131c32aba49b70882a6fa7bcda65e7	130809	PDF document	https://www.eoni.org.uk/media/qxuarlln/local-council-elections-2023-result-sheet-dungannon.pdf
local-council-elections-2023-result-sheet-newry.pdf	83e075caa6810dc5a686a48b438b99ad3b2dc62ba442b1fc0ba15641c7bdc2c0	47715	PDF document	https://www.eoni.org.uk/media/s1gpadez/local-council-elections-2023-result-sheet-newry.pdf
local-council-elections-2023-result-sheet-west-tyrone.pdf	6a45da244b49f2cb5e36669613b32c9ac215bb4ebe8fff1a1209316b4b0373c2	141757	PDF document	https://www.eoni.org.uk/media/sceooqqd/local-council-elections-2023-result-sheet-west-tyrone.pdf
local-council-elections-2023-result-sheet-faughan.xlsx	2592d12d3e84f0c833c725670c6a1dfd90b0ee5f63e50b15ea61f9affcf4ce97	46165	Microsoft Excel 2007+	https://www.eoni.org.uk/media/sspiq445/local-council-elections-2023-result-sheet-faughan.xlsx
local-council-elections-2023-result-sheet-lagan-river.pdf	ae9b06698576a5d5da4477027880da1fb908e9a20b93645acbc05059ef1bd4b6	116302	PDF document	https://www.eoni.org.uk/media/syggfqlf/local-council-elections-2023-result-sheet-lagan-river.pdf
