code,up_catholic,up_protestant,up_none_other,lapsed_catholic,lapsed_protestant,now_presbyterian,now_church_of_ireland,now_methodist,now_remaining_other_christian,sdz_unspecified_protestant,sdz_conservative_pool,sdz_free_presbyterian,grade_AB,grade_C1,grade_C2,grade_DE,id_british,id_irish,id_northern_irish,id_british_and_irish,id_british_and_northern_irish,id_irish_and_northern_irish,id_british_irish_and_northern_irish,id_other
N20001278,0.895307,0.043321,0.061372,0.034296,0.009025,0.014440,0.005415,0.003610,0.010315,0.000516,0.000000,0.000000,0.177449,0.384473,0.207024,0.231054,0.039711,0.779783,0.088448,0.010830,0.016245,0.014440,0.003610,0.046931
N20001279,0.932566,0.034539,0.032895,0.050987,0.013158,0.014803,0.000000,0.000000,0.006266,0.000313,0.000000,0.000000,0.304795,0.364726,0.193493,0.136986,0.037829,0.781250,0.092105,0.008224,0.000000,0.019737,0.003289,0.057566
N20001280,0.717042,0.163987,0.118971,0.113816,0.044632,0.045161,0.041935,0.016129,0.014461,0.001112,0.000000,0.000556,0.187500,0.367647,0.169118,0.275735,0.109677,0.477419,0.196774,0.006452,0.048387,0.061290,0.000000,0.100000
N20001281,0.772152,0.120253,0.107595,0.099013,0.036111,0.035599,0.012945,0.003236,0.026995,0.002999,0.001579,0.000789,0.250000,0.347973,0.185811,0.216216,0.104762,0.638095,0.158730,0.006349,0.000000,0.044444,0.006349,0.041270
N20001282,0.939806,0.029126,0.031068,0.027184,0.005825,0.019417,0.001942,0.000000,0.001456,0.000485,0.000000,0.000000,0.151452,0.398340,0.242739,0.207469,0.052427,0.722330,0.145631,0.015534,0.003883,0.023301,0.007767,0.029126
N20001283,0.908333,0.047222,0.044444,0.039253,0.016582,0.002786,0.002786,0.000000,0.019752,0.001519,0.002279,0.001519,0.047619,0.249084,0.201465,0.501832,0.075000,0.652778,0.202778,0.013889,0.005556,0.025000,0.000000,0.025000
N20001284,0.973643,0.007752,0.018605,0.015504,0.003101,0.003101,0.001550,0.000000,0.000000,0.000000,0.000000,0.000000,0.225705,0.387147,0.195925,0.191223,0.023256,0.838760,0.083721,0.000000,0.001550,0.032558,0.001550,0.018605
N20001285,0.665672,0.217910,0.116418,0.091267,0.027434,0.074405,0.071429,0.005952,0.030483,0.002345,0.003517,0.002345,0.167910,0.194030,0.298507,0.339552,0.205970,0.447761,0.241791,0.014925,0.029851,0.026866,0.008955,0.023881
N20001286,0.905844,0.048701,0.045455,0.042208,0.009740,0.009740,0.012987,0.012987,0.002558,0.000197,0.000295,0.000197,0.034843,0.195122,0.219512,0.550523,0.074919,0.644951,0.214984,0.013029,0.000000,0.022801,0.009772,0.019544
N20001287,0.914216,0.044118,0.041667,0.038606,0.002654,0.031707,0.004878,0.000000,0.003659,0.001220,0.000000,0.000000,0.076220,0.353659,0.149390,0.420732,0.066502,0.753695,0.147783,0.009852,0.004926,0.000000,0.000000,0.017241
N20001288,0.955598,0.027027,0.017375,0.054244,0.005750,0.003868,0.003868,0.003868,0.007620,0.000586,0.000879,0.000586,0.027273,0.256818,0.209091,0.506818,0.030948,0.756286,0.145068,0.001934,0.013540,0.025145,0.001934,0.025145
N20001289,0.535176,0.329146,0.135678,0.066504,0.045938,0.127820,0.050125,0.022556,0.068990,0.007666,0.004034,0.002017,0.286154,0.338462,0.107692,0.267692,0.212121,0.414141,0.212121,0.015152,0.035354,0.032828,0.012626,0.065657
N20001290,0.961981,0.022104,0.015915,0.059240,0.003537,0.001768,0.000884,0.001768,0.010610,0.003537,0.000000,0.000000,0.206055,0.359375,0.257812,0.176758,0.041556,0.781609,0.118479,0.004421,0.006189,0.021220,0.001768,0.024757
N20001291,0.940870,0.022609,0.036522,0.048136,-0.001613,0.001730,0.010381,0.000000,0.008651,0.003460,0.000000,0.000000,0.140845,0.306338,0.244718,0.308099,0.026042,0.819444,0.081597,0.005208,0.006944,0.020833,0.005208,0.034722
N20001292,0.313485,0.549912,0.136602,0.054682,0.078081,0.147887,0.160211,0.033451,0.108674,0.012075,0.006355,0.003178,0.186747,0.339357,0.248996,0.224900,0.349206,0.229277,0.186949,0.008818,0.070547,0.014109,0.012346,0.128748
N20001293,0.956522,0.024457,0.019022,0.038266,0.013557,0.008174,0.000000,0.000000,0.002147,0.000165,0.000248,0.000165,0.083624,0.240418,0.212544,0.463415,0.048913,0.722826,0.192935,0.005435,0.005435,0.010870,0.008152,0.005435
N20001294,0.251082,0.597403,0.151515,0.024995,0.119142,0.143478,0.204348,0.039130,0.076161,0.008462,0.004454,0.002227,0.350000,0.418750,0.125000,0.106250,0.441558,0.147186,0.173160,0.004329,0.147186,0.021645,0.012987,0.051948
