code,up_catholic,up_protestant,up_none_other,lapsed_catholic,lapsed_protestant,now_presbyterian,now_church_of_ireland,now_methodist,now_remaining_other_christian,sdz_unspecified_protestant,sdz_conservative_pool,sdz_free_presbyterian,grade_AB,grade_C1,grade_C2,grade_DE,id_british,id_irish,id_northern_irish,id_british_and_irish,id_british_and_northern_irish,id_irish_and_northern_irish,id_british_irish_and_northern_irish,id_other
N20000001,0.089431,0.804878,0.105691,0.013550,0.109756,0.486450,0.065041,0.018970,0.080510,0.011872,0.010017,0.022261,0.295416,0.310696,0.315789,0.078098,0.613821,0.024390,0.182927,0.009485,0.131436,0.002710,0.013550,0.021680
N20000002,0.036254,0.891239,0.072508,0.012085,0.123867,0.495468,0.096677,0.012085,0.123483,0.021181,0.013520,0.004957,0.261224,0.351020,0.302041,0.085714,0.589820,0.014970,0.155689,0.002994,0.176647,0.002994,0.023952,0.032934
N20000003,0.126374,0.780220,0.093407,0.030220,0.049451,0.489011,0.085165,0.021978,0.086939,0.012821,0.010817,0.024038,0.183267,0.350598,0.310757,0.155378,0.563536,0.082873,0.110497,0.000000,0.179558,0.013812,0.027624,0.022099
N20000004,0.453997,0.467572,0.078431,0.043391,0.063026,0.263636,0.043939,0.004545,0.059691,0.008802,0.007427,0.016504,0.323699,0.314066,0.252408,0.109827,0.358974,0.220211,0.256410,0.018100,0.079940,0.019608,0.022624,0.024133
N20000005,0.066568,0.852071,0.081361,0.029476,0.074623,0.562315,0.094955,0.022255,0.074118,0.012714,0.008115,0.002976,0.266417,0.317073,0.348968,0.067542,0.501479,0.032544,0.218935,0.002959,0.208580,0.004438,0.010355,0.020710
N20000006,0.405172,0.528017,0.066810,0.028828,0.044146,0.301075,0.077419,0.002151,0.066667,0.009831,0.008295,0.018433,0.286104,0.340599,0.277929,0.095368,0.349785,0.233906,0.190987,0.012876,0.152361,0.032189,0.017167,0.010730
N20000007,0.882955,0.105682,0.011364,0.014773,0.010227,0.056818,0.017045,0.000000,0.009694,0.000000,0.000441,0.011456,0.185552,0.301700,0.388102,0.124646,0.109091,0.568182,0.246591,0.001136,0.020455,0.022727,0.017045,0.014773
N20000008,0.548287,0.408100,0.043614,0.024995,0.043193,0.229814,0.062112,0.006211,0.043122,0.006359,0.005365,0.011923,0.247505,0.275449,0.379242,0.097804,0.295950,0.255452,0.286604,0.012461,0.082555,0.037383,0.006231,0.023364
N20000009,0.203008,0.714286,0.082707,0.011465,0.060057,0.437811,0.097015,0.012438,0.069082,0.010187,0.008595,0.019101,0.326154,0.384615,0.249231,0.040000,0.528678,0.119701,0.157107,0.000000,0.147132,0.017456,0.014963,0.014963
N20000010,0.058824,0.841912,0.099265,0.018382,0.130515,0.444853,0.112132,0.022059,0.100179,0.017184,0.010968,0.004022,0.369369,0.286036,0.247748,0.096847,0.552486,0.038674,0.191529,0.007366,0.154696,0.005525,0.025783,0.023941
N20000011,0.238095,0.607619,0.154286,0.013761,0.069596,0.294677,0.148289,0.001901,0.066492,0.012488,0.003713,0.010463,0.059770,0.218391,0.285057,0.436782,0.493333,0.049524,0.146667,0.000000,0.133333,0.001905,0.007619,0.167619
N20000012,0.194831,0.707753,0.097416,0.030475,0.093892,0.342574,0.144554,0.009901,0.083391,0.015662,0.004656,0.013122,0.179641,0.269461,0.344311,0.206587,0.453280,0.071571,0.228628,0.001988,0.127237,0.015905,0.017893,0.083499
N20000013,0.281481,0.590123,0.128395,0.007407,0.064198,0.360494,0.066667,0.012346,0.065869,0.005269,0.010012,0.005269,0.257463,0.246269,0.388060,0.108209,0.523342,0.120393,0.194103,0.002457,0.090909,0.007371,0.027027,0.034398
N20000014,0.365613,0.531621,0.102767,0.023715,0.081028,0.252964,0.081028,0.003953,0.080405,0.015101,0.004490,0.012653,0.227027,0.286486,0.248649,0.237838,0.349802,0.183794,0.239130,0.005929,0.110672,0.017787,0.033597,0.059289
N20000015,0.928328,0.044369,0.027304,0.027304,0.010239,0.013652,0.015358,0.000000,0.002299,0.000000,0.000104,0.002716,0.098398,0.178490,0.274600,0.448513,0.039249,0.598976,0.283276,0.005119,0.006826,0.015358,0.001706,0.049488
N20000016,0.536424,0.337748,0.125828,0.068575,0.045065,0.186253,0.050998,0.011086,0.036671,0.004264,0.003411,0.000000,0.263456,0.351275,0.172805,0.212465,0.254386,0.243421,0.245614,0.004386,0.078947,0.046053,0.008772,0.118421
N20000017,0.869822,0.059172,0.071006,0.016272,0.010355,0.013314,0.025148,0.002959,0.006116,0.000711,0.000569,0.000000,0.241379,0.194192,0.313975,0.250454,0.103704,0.477037,0.228148,0.010370,0.016296,0.022222,0.001481,0.140741
N20000018,0.834711,0.097107,0.068182,0.032242,0.029206,0.020576,0.024691,0.000000,0.018716,0.002176,0.001741,0.000000,0.286353,0.369128,0.192394,0.152125,0.104938,0.504115,0.263374,0.010288,0.026749,0.039095,0.002058,0.049383
N20000019,0.455471,0.440204,0.104326,0.033079,0.063613,0.180662,0.068702,0.007634,0.085362,0.016032,0.004766,0.013433,0.084871,0.199262,0.295203,0.420664,0.320611,0.139949,0.167939,0.005089,0.058524,0.007634,0.012723,0.287532
N20000020,0.537234,0.356383,0.106383,0.023960,0.037799,0.164602,0.069027,0.003540,0.058112,0.010914,0.003245,0.009145,0.134118,0.265882,0.256471,0.343529,0.330961,0.241993,0.259786,0.005338,0.048043,0.016014,0.012456,0.085409
N20000021,0.781651,0.165138,0.053211,0.050528,0.045432,0.064457,0.012891,0.012891,0.024366,0.002833,0.002267,0.000000,0.265690,0.391213,0.225941,0.117155,0.166972,0.422018,0.306422,0.009174,0.023853,0.023853,0.001835,0.045872
N20000022,0.954649,0.038549,0.006803,0.038549,0.009070,0.020408,0.000000,0.000000,0.004072,0.000000,0.000185,0.004813,0.301703,0.238443,0.333333,0.126521,0.061224,0.702948,0.129252,0.004535,0.006803,0.061224,0.000000,0.034014
N20000023,0.601594,0.322709,0.075697,0.044054,0.052868,0.140873,0.091270,0.001984,0.025492,0.004788,0.001423,0.004011,0.253041,0.287105,0.274939,0.184915,0.290000,0.258000,0.270000,0.012000,0.048000,0.032000,0.018000,0.072000
N20000024,0.812903,0.156452,0.030645,0.016129,0.004839,0.082258,0.030645,0.001613,0.016656,0.000000,0.000757,0.019684,0.221557,0.253493,0.381238,0.143713,0.143548,0.569355,0.195161,0.003226,0.024194,0.046774,0.006452,0.011290
N20000025,0.507246,0.388889,0.103865,0.026570,0.055556,0.173913,0.099034,0.000000,0.046026,0.003682,0.006996,0.003682,0.220000,0.457500,0.200000,0.122500,0.404819,0.146988,0.233735,0.009639,0.125301,0.021687,0.009639,0.048193
N20000026,0.041516,0.879061,0.079422,0.010775,0.117759,0.479204,0.137432,0.023508,0.091705,0.015730,0.010041,0.003682,0.301887,0.330189,0.294811,0.073113,0.603978,0.019892,0.188065,0.005425,0.128391,0.001808,0.034358,0.018083
N20000027,0.482883,0.345946,0.171171,0.024102,0.069960,0.154122,0.023297,0.001792,0.073761,0.005901,0.011212,0.005901,0.208029,0.483577,0.204380,0.104015,0.338710,0.134409,0.268817,0.005376,0.071685,0.016129,0.035842,0.129032
N20000028,0.605455,0.330909,0.063636,0.029091,0.021818,0.232727,0.027273,0.000000,0.037417,0.002993,0.005687,0.002993,0.284672,0.311436,0.333333,0.070560,0.281818,0.418182,0.189091,0.001818,0.045455,0.036364,0.003636,0.023636
N20000029,0.606557,0.300546,0.092896,0.040314,0.057352,0.148820,0.070780,0.003630,0.015216,0.001217,0.002313,0.001217,0.284141,0.332599,0.226872,0.156388,0.269928,0.333333,0.240942,0.003623,0.076087,0.028986,0.009058,0.038043
N20000030,0.132797,0.778672,0.088531,0.026157,0.088531,0.450704,0.132797,0.016097,0.068533,0.011756,0.007504,0.002751,0.359897,0.398458,0.151671,0.089974,0.485887,0.064516,0.235887,0.010081,0.147177,0.010081,0.022177,0.024194
N20000031,0.058380,0.813559,0.128060,0.011388,0.136868,0.413534,0.139098,0.015038,0.082520,0.014155,0.009035,0.003313,0.437788,0.246544,0.158986,0.156682,0.437736,0.041509,0.228302,0.000000,0.201887,0.009434,0.041509,0.039623
N20000032,0.838780,0.106754,0.054466,0.058345,0.015449,0.052174,0.036957,0.000000,0.001657,0.000133,0.000252,0.000133,0.307292,0.307292,0.325521,0.059896,0.106754,0.496732,0.281046,0.000000,0.006536,0.050109,0.021786,0.037037
N20000033,0.863806,0.104478,0.031716,0.028292,0.018496,0.061682,0.007477,0.000000,0.012822,0.001026,0.001949,0.001026,0.169683,0.307692,0.441176,0.081448,0.091589,0.620561,0.192523,0.005607,0.024299,0.056075,0.000000,0.009346
N20000034,0.856164,0.102740,0.041096,0.045230,0.013901,0.072893,0.011390,0.000000,0.003472,0.000278,0.000528,0.000278,0.337110,0.286119,0.288952,0.087819,0.120729,0.551253,0.266515,0.000000,0.002278,0.029613,0.000000,0.029613
N20000035,0.500745,0.360656,0.138599,0.047014,0.054686,0.135821,0.088060,0.008955,0.062959,0.005724,0.003816,0.000636,0.153473,0.318255,0.243942,0.284330,0.339820,0.125749,0.224551,0.000000,0.085329,0.019461,0.034431,0.170659
N20000036,0.483957,0.280749,0.235294,0.026738,0.053476,0.088235,0.082888,0.005348,0.043734,0.003976,0.002651,0.000442,0.065714,0.371429,0.197143,0.365714,0.261333,0.125333,0.210667,0.002667,0.085333,0.026667,0.008000,0.280000
N20000037,0.410926,0.296912,0.292162,0.052257,0.042755,0.111639,0.052257,0.007126,0.071569,0.006506,0.004337,0.000723,0.035176,0.128141,0.261307,0.575377,0.361045,0.095012,0.218527,0.000000,0.083135,0.002375,0.000000,0.239905
N20000038,0.378981,0.412420,0.208599,0.049363,0.097134,0.127389,0.070064,0.009554,0.088135,0.010576,0.004533,0.005036,0.255652,0.474783,0.166957,0.102609,0.342357,0.111465,0.243631,0.009554,0.097134,0.007962,0.023885,0.164013
N20000039,0.352705,0.533066,0.114228,0.054108,0.100200,0.234469,0.106212,0.020040,0.058722,0.007047,0.003020,0.003356,0.161074,0.369128,0.221477,0.248322,0.464930,0.070140,0.244489,0.030060,0.082164,0.008016,0.028056,0.072144
N20000040,0.557951,0.215633,0.226415,0.049843,0.021039,0.064865,0.086486,0.010811,0.027920,0.002538,0.001692,0.000282,0.064516,0.263930,0.196481,0.475073,0.224932,0.116531,0.189702,0.002710,0.046070,0.016260,0.002710,0.401084
N20000041,0.380236,0.448980,0.170784,0.036856,0.066848,0.202368,0.092573,0.016146,0.060538,0.009006,0.000500,0.001001,0.205412,0.437884,0.210332,0.146371,0.422127,0.136412,0.199785,0.005371,0.097744,0.008593,0.018260,0.111708
N20000042,0.384036,0.424699,0.191265,0.042169,0.066265,0.118976,0.055723,0.016566,0.136068,0.016328,0.006998,0.007775,0.219937,0.479430,0.172468,0.128165,0.368976,0.082831,0.185241,0.007530,0.085843,0.001506,0.028614,0.239458
N20000043,0.364964,0.399027,0.236010,0.036915,0.060002,0.154878,0.079268,0.014634,0.062972,0.018346,0.007934,0.000992,0.157490,0.491677,0.202305,0.148528,0.347561,0.115854,0.174390,0.004878,0.101220,0.012195,0.020732,0.223171
N20000044,0.407708,0.417850,0.174442,0.035238,0.065623,0.176113,0.107287,0.024291,0.037948,0.005645,0.000314,0.000627,0.301149,0.425287,0.163218,0.110345,0.386965,0.181263,0.154786,0.010183,0.136456,0.012220,0.018330,0.099796
N20000045,0.497854,0.381974,0.120172,0.032189,0.087983,0.160944,0.075107,0.019313,0.032914,0.004896,0.000272,0.000544,0.136842,0.397368,0.236842,0.228947,0.343348,0.173820,0.272532,0.019313,0.057940,0.030043,0.040773,0.062232
N20000046,0.178634,0.623468,0.197898,0.019264,0.071804,0.274956,0.173380,0.017513,0.059881,0.017446,0.007544,0.000943,0.023605,0.313305,0.244635,0.418455,0.477193,0.040351,0.161404,0.008772,0.140351,0.008772,0.007018,0.156140
N20000047,0.292636,0.550388,0.156977,0.027132,0.058140,0.267442,0.133721,0.019380,0.050036,0.014577,0.006304,0.000788,0.230337,0.320225,0.241573,0.207865,0.403883,0.100971,0.269903,0.001942,0.097087,0.003883,0.029126,0.093204
N20000048,0.457295,0.414591,0.128114,0.046581,0.057448,0.171429,0.105357,0.016071,0.054779,0.008149,0.000453,0.000905,0.203753,0.356568,0.206434,0.233244,0.399287,0.208556,0.221034,0.019608,0.076649,0.016043,0.008913,0.049911
N20000049,0.592058,0.292419,0.115523,0.041516,0.052347,0.106498,0.079422,0.003610,0.035620,0.008183,0.003851,0.002888,0.106700,0.352357,0.131514,0.409429,0.320721,0.180180,0.300901,0.003604,0.050450,0.016216,0.010811,0.117117
N20000050,0.152582,0.652582,0.194836,0.039641,0.125523,0.277647,0.148235,0.021176,0.055537,0.017190,0.006612,0.000661,0.063253,0.201807,0.183735,0.551205,0.536643,0.033097,0.203310,0.002364,0.106383,0.004728,0.028369,0.085106
N20000051,0.697769,0.158215,0.144016,0.058824,0.032454,0.064909,0.020284,0.004057,0.022627,0.011570,0.002057,0.000257,0.061381,0.209719,0.242967,0.485934,0.255578,0.219067,0.296146,0.000000,0.036511,0.034483,0.016227,0.141988
N20000052,0.313253,0.548193,0.138554,0.031253,0.098193,0.190000,0.168000,0.004000,0.054535,0.027887,0.004958,0.000620,0.074074,0.261728,0.214815,0.449383,0.475050,0.143713,0.199601,0.000000,0.099800,0.007984,0.011976,0.061876
N20000053,0.431373,0.377451,0.191176,0.059734,0.062048,0.141809,0.110024,0.017115,0.032250,0.009982,0.003839,0.000384,0.021148,0.314199,0.163142,0.501511,0.344743,0.114914,0.366748,0.002445,0.046455,0.009780,0.007335,0.107579
N20000054,0.116505,0.617476,0.266019,0.037047,0.101972,0.296512,0.166667,0.009690,0.029751,0.008668,0.003748,0.000469,0.023753,0.254157,0.220903,0.501188,0.542636,0.025194,0.240310,0.000000,0.094961,0.005814,0.009690,0.081395
N20000055,0.115727,0.626113,0.258160,0.021332,0.092189,0.283186,0.165192,0.023599,0.043004,0.013311,0.005120,0.000512,0.050909,0.200000,0.156364,0.592727,0.540059,0.041543,0.231454,0.008902,0.080119,0.000000,0.000000,0.097923
N20000056,0.275934,0.454357,0.269710,0.020747,0.051867,0.201245,0.082988,0.020747,0.067693,0.020953,0.008059,0.000806,0.025114,0.184932,0.214612,0.575342,0.436590,0.049896,0.259875,0.008316,0.079002,0.008316,0.004158,0.153846
N20000057,0.481720,0.380645,0.137634,0.058974,0.058757,0.158798,0.090129,0.023605,0.034784,0.007991,0.003760,0.002820,0.151515,0.410468,0.242424,0.195592,0.277419,0.184946,0.268817,0.000000,0.122581,0.038710,0.021505,0.086022
N20000058,0.183133,0.604819,0.212048,0.021297,0.061341,0.268116,0.169082,0.004831,0.059718,0.030938,0.004317,0.006475,0.055556,0.227778,0.213889,0.502778,0.520384,0.031175,0.251799,0.007194,0.079137,0.009592,0.002398,0.098321
N20000059,0.496368,0.283293,0.220339,0.077482,0.067797,0.082324,0.077482,0.009685,0.028510,0.014579,0.002592,0.000324,0.060172,0.255014,0.160458,0.524355,0.315663,0.168675,0.315663,0.016867,0.060241,0.012048,0.004819,0.106024
N20000060,0.411268,0.490141,0.098592,0.050704,0.033803,0.219718,0.126761,0.033803,0.059324,0.010141,0.006085,0.000507,0.156250,0.322917,0.312500,0.208333,0.362360,0.143258,0.261236,0.008427,0.134831,0.011236,0.022472,0.056180
N20000061,0.246719,0.606299,0.146982,0.032059,0.085357,0.253927,0.154450,0.015707,0.057016,0.029538,0.004122,0.006182,0.150641,0.224359,0.173077,0.451923,0.475066,0.091864,0.212598,0.000000,0.083990,0.023622,0.020997,0.091864
N20000062,0.175879,0.656616,0.167504,0.023451,0.068677,0.306533,0.167504,0.010050,0.061133,0.031671,0.004419,0.006629,0.071713,0.199203,0.177291,0.551793,0.512563,0.068677,0.182580,0.006700,0.092127,0.003350,0.011725,0.122278
N20000063,0.387640,0.390449,0.221910,0.048657,0.085365,0.149718,0.098870,0.008475,0.033844,0.007775,0.003659,0.002744,0.135036,0.317518,0.233577,0.313869,0.302260,0.076271,0.248588,0.008475,0.062147,0.019774,0.011299,0.271186
N20000064,0.336735,0.517857,0.145408,0.029628,0.073695,0.225888,0.101523,0.043147,0.057411,0.009814,0.005888,0.000491,0.206612,0.433884,0.173554,0.185950,0.468031,0.138107,0.219949,0.007673,0.074169,0.012788,0.010230,0.069054
N20000065,0.419552,0.476578,0.103870,0.045568,0.068042,0.195122,0.123984,0.020325,0.053902,0.009214,0.005528,0.000461,0.213816,0.312500,0.302632,0.171053,0.415479,0.146640,0.238289,0.014257,0.105906,0.022403,0.026477,0.030550
N20000066,0.513846,0.276923,0.209231,0.061538,0.046154,0.110769,0.043077,0.009231,0.043624,0.016171,0.007521,0.000376,0.026415,0.158491,0.196226,0.618868,0.335404,0.152174,0.363354,0.003106,0.049689,0.012422,0.018634,0.065217
N20000067,0.452975,0.328215,0.218810,0.040307,0.051823,0.101727,0.107486,0.011516,0.035871,0.013297,0.006185,0.000309,0.055437,0.153518,0.166311,0.624733,0.433781,0.119002,0.314779,0.003839,0.074856,0.001919,0.001919,0.049904
N20000068,0.387707,0.524823,0.087470,0.040189,0.052009,0.274232,0.125296,0.014184,0.041653,0.009569,0.004503,0.003377,0.068182,0.213636,0.177273,0.540909,0.544811,0.087264,0.216981,0.007075,0.061321,0.009434,0.011792,0.061321
N20000069,0.348485,0.538961,0.112554,0.023054,0.054047,0.232759,0.155172,0.012931,0.067343,0.009114,0.005570,0.002025,0.199501,0.326683,0.309227,0.164589,0.403471,0.082430,0.277657,0.004338,0.091106,0.030369,0.015184,0.095445
N20000070,0.321596,0.589202,0.089202,0.025822,0.093897,0.230047,0.150235,0.063380,0.040282,0.006886,0.004131,0.000344,0.144366,0.471831,0.232394,0.151408,0.428571,0.131148,0.252927,0.014052,0.096019,0.009368,0.016393,0.051522
N20000071,0.350148,0.465875,0.183976,0.074184,0.065282,0.181009,0.172107,0.011869,0.025095,0.005765,0.002713,0.002035,0.123288,0.376712,0.174658,0.325342,0.397626,0.115727,0.293769,0.017804,0.032641,0.008902,0.008902,0.124629
N20000072,0.268336,0.595707,0.135957,0.024609,0.083162,0.277778,0.132616,0.008961,0.074664,0.010105,0.006175,0.002246,0.365340,0.391101,0.124122,0.119438,0.409660,0.103757,0.270125,0.012522,0.085868,0.019678,0.028623,0.069767
N20000073,0.171247,0.680761,0.147992,0.014799,0.067653,0.336152,0.169133,0.010571,0.060269,0.030819,0.005479,0.000685,0.067797,0.347458,0.271186,0.313559,0.554852,0.040084,0.200422,0.012658,0.109705,0.000000,0.016878,0.065401
N20000074,0.125800,0.718550,0.155650,0.042466,0.118123,0.335470,0.162393,0.006410,0.061966,0.022970,0.010684,0.000534,0.042216,0.300792,0.253298,0.403694,0.619658,0.034188,0.177350,0.000000,0.074786,0.006410,0.002137,0.085470
N20000075,0.333333,0.510490,0.156177,0.041667,0.079934,0.168981,0.141204,0.018519,0.081604,0.011044,0.006749,0.002454,0.179420,0.422164,0.250660,0.147757,0.440092,0.133641,0.195853,0.002304,0.080645,0.013825,0.018433,0.115207
N20000076,0.434316,0.380697,0.184987,0.059985,0.081232,0.133690,0.082888,0.018717,0.043192,0.012341,0.008021,0.000617,0.210031,0.357367,0.200627,0.231975,0.343164,0.158177,0.265416,0.008043,0.053619,0.021448,0.010724,0.139410
N20000077,0.251634,0.588235,0.160131,0.028683,0.089875,0.252459,0.170492,0.006557,0.046343,0.013241,0.008607,0.000662,0.126087,0.269565,0.221739,0.382609,0.462541,0.104235,0.224756,0.009772,0.100977,0.013029,0.003257,0.081433
N20000078,0.175385,0.593846,0.230769,0.032970,0.086106,0.287926,0.164087,0.009288,0.028779,0.014717,0.002616,0.000327,0.059829,0.222222,0.290598,0.427350,0.560000,0.049231,0.184615,0.006154,0.126154,0.009231,0.018462,0.046154
N20000079,0.056848,0.720930,0.222222,-0.000147,0.101759,0.341969,0.186528,0.010363,0.051756,0.019185,0.008923,0.000446,0.059190,0.242991,0.246106,0.451713,0.554124,0.018041,0.201031,0.000000,0.170103,0.000000,0.002577,0.054124
N20000080,0.242089,0.588608,0.169304,0.023191,0.095694,0.319685,0.100787,0.012598,0.046677,0.007979,0.004787,0.000399,0.301961,0.421569,0.149020,0.127451,0.455836,0.085174,0.222397,0.004732,0.108833,0.004732,0.025237,0.093060
N20000081,0.266467,0.592814,0.140719,0.035928,0.071856,0.206587,0.212575,0.011976,0.060456,0.017273,0.011228,0.000864,0.078947,0.327068,0.266917,0.327068,0.471299,0.084592,0.205438,0.003021,0.096677,0.009063,0.018127,0.111782
N20000082,0.095556,0.731111,0.173333,0.013697,0.100580,0.342920,0.148230,0.022124,0.075565,0.028011,0.013029,0.000651,0.034188,0.227920,0.245014,0.492877,0.621681,0.024336,0.176991,0.002212,0.112832,0.002212,0.004425,0.055310
N20000083,0.318519,0.522222,0.159259,0.030129,0.050312,0.273408,0.142322,0.000000,0.037813,0.010804,0.007022,0.000540,0.083333,0.312500,0.291667,0.312500,0.459259,0.077778,0.255556,0.000000,0.144444,0.000000,0.011111,0.051852
N20000084,0.399306,0.527778,0.072917,0.033452,0.067847,0.271777,0.128920,0.010453,0.032833,0.009381,0.006098,0.000469,0.206250,0.375000,0.175000,0.243750,0.414634,0.160279,0.212544,0.013937,0.128920,0.010453,0.000000,0.059233
N20000085,0.286195,0.585859,0.127946,0.021440,0.118742,0.231029,0.153457,0.030354,0.041884,0.005669,0.003464,0.001260,0.272222,0.403704,0.196296,0.127778,0.373737,0.097643,0.274411,0.000000,0.153199,0.018519,0.018519,0.063973
N20000086,0.027823,0.859247,0.112930,0.006547,0.104746,0.414075,0.145663,0.067103,0.099584,0.010798,0.011758,0.005519,0.426230,0.319672,0.170082,0.084016,0.498361,0.003279,0.216393,0.006557,0.227869,0.001639,0.018033,0.027869
N20000087,0.040169,0.900634,0.059197,0.008457,0.088795,0.520085,0.078224,0.054968,0.098787,0.026427,0.027056,0.006292,0.373913,0.246377,0.234783,0.144928,0.488372,0.033827,0.215645,0.008457,0.181818,0.006342,0.044397,0.021142
N20000088,0.024691,0.864198,0.111111,0.016461,0.119342,0.388889,0.090535,0.063786,0.157299,0.017057,0.018573,0.008718,0.365796,0.337292,0.180523,0.116390,0.598765,0.012346,0.179012,0.008230,0.144033,0.002058,0.041152,0.014403
N20000089,0.060294,0.839706,0.100000,0.016046,0.122892,0.346608,0.097345,0.056047,0.169131,0.018340,0.019970,0.009374,0.319109,0.406308,0.202226,0.072356,0.525698,0.029369,0.195301,0.007342,0.190896,0.002937,0.014684,0.033774
N20000090,0.062267,0.782067,0.155666,0.011208,0.108344,0.362391,0.144458,0.051059,0.078504,0.013134,0.022984,0.001194,0.350902,0.380028,0.156727,0.112344,0.472637,0.021144,0.246269,0.001244,0.197761,0.011194,0.019900,0.029851
N20000091,0.023576,0.838900,0.137525,0.007859,0.110020,0.388998,0.123772,0.043222,0.107712,0.028815,0.029501,0.006861,0.229958,0.373418,0.280591,0.116034,0.483301,0.003929,0.237721,0.000000,0.176817,0.011788,0.049116,0.037328
N20000092,0.066085,0.793017,0.140898,0.016209,0.124688,0.331671,0.148379,0.057357,0.088744,0.014847,0.025982,0.001350,0.281907,0.409537,0.183731,0.124825,0.533001,0.023661,0.191781,0.000000,0.176837,0.004981,0.033624,0.036115
N20000093,0.024570,0.828010,0.147420,0.004914,0.115479,0.353808,0.203931,0.088452,0.044967,0.007523,0.013165,0.000684,0.059406,0.257426,0.184818,0.498350,0.611247,0.000000,0.185819,0.002445,0.171149,0.002445,0.009780,0.017115
N20000094,0.044496,0.782201,0.173302,0.007026,0.147541,0.288056,0.110070,0.023419,0.144457,0.024168,0.042293,0.002197,0.513447,0.327628,0.092910,0.066015,0.355972,0.021077,0.337237,0.000000,0.196721,0.007026,0.023419,0.058548
N20000095,0.070529,0.690176,0.239295,0.012448,0.086641,0.363636,0.118687,0.055556,0.038270,0.020364,0.005969,0.001053,0.045326,0.203966,0.184136,0.566572,0.601010,0.015152,0.176768,0.005051,0.154040,0.002525,0.000000,0.045455
N20000096,0.034364,0.802405,0.163230,0.001830,0.126036,0.373288,0.145548,0.065068,0.057608,0.015411,0.015778,0.003669,0.221116,0.306773,0.292829,0.179283,0.585198,0.022375,0.213425,0.000000,0.149742,0.000000,0.012048,0.017212
N20000097,0.043554,0.841463,0.114983,0.006969,0.134146,0.351916,0.155052,0.074913,0.085025,0.014225,0.024893,0.001293,0.340426,0.287234,0.186170,0.186170,0.457391,0.031304,0.262609,0.003478,0.172174,0.003478,0.013913,0.055652
N20000098,0.031332,0.830287,0.138381,0.010444,0.146214,0.368146,0.135770,0.067885,0.078074,0.017099,0.016454,0.000645,0.188000,0.316000,0.248000,0.248000,0.580729,0.007812,0.161458,0.005208,0.203125,0.000000,0.010417,0.031250
N20000099,0.028139,0.861472,0.110390,0.000121,0.165351,0.469828,0.116379,0.034483,0.046995,0.012572,0.012871,0.002993,0.197297,0.362162,0.335135,0.105405,0.485961,0.032397,0.209503,0.008639,0.209503,0.002160,0.021598,0.030238
N20000100,0.043972,0.882270,0.073759,0.002837,0.107801,0.441135,0.106383,0.093617,0.104010,0.011278,0.012281,0.005764,0.309804,0.366667,0.272549,0.050980,0.563121,0.018440,0.202837,0.005674,0.154610,0.001418,0.036879,0.017021
N20000101,0.028078,0.868251,0.103672,0.004473,0.106448,0.354077,0.115880,0.107296,0.128336,0.028107,0.027046,0.001061,0.406619,0.302600,0.172577,0.118203,0.466523,0.023758,0.205184,0.004320,0.237581,0.015119,0.023758,0.023758
N20000102,0.084746,0.703390,0.211864,0.011062,0.134969,0.303158,0.109474,0.044211,0.077592,0.016993,0.016352,0.000641,0.194896,0.389791,0.245940,0.169374,0.516807,0.029412,0.212185,0.004202,0.161765,0.014706,0.023109,0.037815
N20000103,0.065156,0.733711,0.201133,0.014164,0.124646,0.348442,0.138810,0.048159,0.042932,0.022845,0.006696,0.001182,0.168033,0.262295,0.250000,0.319672,0.569405,0.033994,0.189802,0.005666,0.155807,0.014164,0.005666,0.025496
N20000104,0.041276,0.742964,0.215760,0.005562,0.130182,0.317669,0.161654,0.043233,0.052591,0.027984,0.008202,0.001447,0.070175,0.157895,0.155702,0.616228,0.534840,0.018832,0.224105,0.005650,0.154426,0.007533,0.009416,0.045198
N20000105,0.073710,0.675676,0.250614,0.004574,0.107774,0.291358,0.120988,0.056790,0.057569,0.030633,0.008979,0.001584,0.068404,0.358306,0.260586,0.312704,0.529412,0.031863,0.232843,0.004902,0.134804,0.004902,0.014706,0.046569
N20000106,0.075061,0.806295,0.118644,0.012410,0.141235,0.315663,0.146988,0.093976,0.075405,0.016514,0.015891,0.000623,0.244582,0.393189,0.164087,0.198142,0.528986,0.036232,0.198068,0.004831,0.166667,0.004831,0.026570,0.033816
N20000107,0.115000,0.717500,0.167500,0.022960,0.160286,0.258706,0.111940,0.052239,0.093412,0.020458,0.019686,0.000772,0.141176,0.311765,0.202941,0.344118,0.587065,0.027363,0.124378,0.000000,0.154229,0.007463,0.012438,0.087065
N20000108,0.066092,0.698276,0.235632,0.014516,0.090826,0.309456,0.151862,0.057307,0.051775,0.027550,0.008075,0.001425,0.058824,0.235294,0.226244,0.479638,0.576369,0.020173,0.219020,0.005764,0.123919,0.002882,0.011527,0.040346
N20000109,0.036232,0.855072,0.108696,0.005435,0.097826,0.438406,0.128623,0.068841,0.094191,0.008041,0.016464,0.002680,0.375000,0.381696,0.178571,0.064732,0.507246,0.018116,0.219203,0.000000,0.182971,0.000000,0.027174,0.045290
N20000110,0.030257,0.859304,0.110439,0.002943,0.127893,0.430956,0.118361,0.104704,0.060057,0.005127,0.010498,0.001709,0.294224,0.346570,0.216606,0.142599,0.524242,0.012121,0.231818,0.001515,0.200000,0.000000,0.006061,0.024242
