code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20003381,0.155412,0.282385,0.162006,0.156420,0.135300,0.070366,0.009195,0.015306,0.013611
N20003382,0.137816,0.242491,0.294080,0.086864,0.140849,0.049821,0.019707,0.015413,0.012959
N20003383,0.330742,0.185623,0.135723,0.095471,0.168399,0.052860,0.009183,0.005252,0.016747
N20003384,0.405290,0.044001,0.112577,0.023631,0.356934,0.010019,0.010455,0.009497,0.027595
N20003385,0.202961,0.173747,0.206273,0.079648,0.239403,0.039242,0.015211,0.023325,0.020190
N20003386,0.148673,0.329450,0.137362,0.169270,0.105087,0.077460,0.008585,0.012774,0.011338
N20003387,0.110029,0.273671,0.242683,0.129683,0.126189,0.080017,0.014421,0.012227,0.011080
N20003388,0.458597,0.072415,0.111951,0.035370,0.262411,0.017550,0.009061,0.008236,0.024409
N20003389,0.133611,0.307906,0.197452,0.152783,0.096646,0.079255,0.011101,0.011045,0.010201
N20003390,0.296620,0.031584,0.220974,0.020286,0.371412,0.007767,0.019205,0.007638,0.024514
N20003391,0.374358,0.036033,0.217358,0.026075,0.276713,0.008852,0.022661,0.009680,0.028270
N20003392,0.190388,0.127939,0.367823,0.085517,0.141690,0.036074,0.031333,0.004571,0.014665
N20003393,0.428882,0.028966,0.139498,0.021363,0.316620,0.008035,0.015847,0.009749,0.031040
N20003394,0.521645,0.015147,0.050213,0.012041,0.341647,0.004852,0.005736,0.012670,0.036050
N20003395,0.227388,0.080356,0.406001,0.060139,0.150734,0.023684,0.030622,0.004861,0.016215
N20003396,0.409627,0.049751,0.215363,0.037295,0.220514,0.013620,0.019531,0.008506,0.025793
N20003397,0.298481,0.060618,0.278679,0.039091,0.247733,0.015045,0.030599,0.008001,0.021753
N20003398,0.425145,0.019278,0.155874,0.013529,0.323996,0.005596,0.017031,0.010661,0.028890
N20003399,0.461442,0.019990,0.089535,0.013633,0.354439,0.005523,0.010905,0.012610,0.031924
N20003400,0.516580,0.025332,0.087532,0.017124,0.293305,0.007390,0.009383,0.012455,0.030900
N20003401,0.494132,0.056646,0.105562,0.026983,0.252121,0.014924,0.012434,0.010801,0.026398
N20003402,0.475709,0.030373,0.125660,0.020776,0.285632,0.008462,0.013708,0.011019,0.028662
N20003403,0.463954,0.023502,0.097642,0.010051,0.342372,0.004855,0.012899,0.013410,0.031316
N20003404,0.412529,0.168283,0.112526,0.066342,0.163755,0.036642,0.012100,0.008145,0.019679
N20003405,0.532805,0.020129,0.072647,0.014588,0.302340,0.005846,0.007588,0.012553,0.031504
N20003406,0.538558,0.057122,0.084329,0.020911,0.237242,0.012254,0.010349,0.012175,0.027058
N20003407,0.524688,0.042792,0.078433,0.017749,0.274707,0.010048,0.010206,0.012555,0.028821
