code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20000001,0.030029,0.482838,0.088745,0.204997,0.008257,0.172009,0.008616,0.002324,0.002184
N20000002,0.013885,0.498633,0.088303,0.224611,0.004526,0.159272,0.008407,0.001229,0.001134
N20000003,0.035147,0.520997,0.033744,0.195884,0.009035,0.196263,0.003695,0.002794,0.002440
N20000004,0.226082,0.184286,0.269416,0.097000,0.092060,0.053794,0.035211,0.022423,0.019727
N20000005,0.019570,0.473082,0.076504,0.258469,0.005542,0.156501,0.007319,0.001548,0.001464
N20000006,0.195300,0.302894,0.135478,0.150355,0.065857,0.100627,0.016432,0.017607,0.015450
N20000007,0.723948,0.034623,0.016543,0.025489,0.108491,0.011572,0.002135,0.042763,0.034437
N20000008,0.364097,0.177986,0.131670,0.113830,0.089998,0.058341,0.015050,0.025649,0.023378
N20000009,0.050336,0.469489,0.060583,0.222019,0.014173,0.169068,0.006512,0.004122,0.003698
N20000010,0.018334,0.435303,0.185023,0.212631,0.007475,0.117807,0.019906,0.001826,0.001694
N20000011,0.078934,0.558432,0.038449,0.174075,0.013937,0.121318,0.005152,0.005411,0.004293
N20000012,0.056749,0.480519,0.105327,0.200036,0.014302,0.123078,0.012026,0.004187,0.003777
N20000013,0.106846,0.398440,0.089906,0.225941,0.023691,0.131195,0.009898,0.007387,0.006696
N20000014,0.145569,0.314251,0.225321,0.138420,0.048269,0.074970,0.028725,0.013150,0.011324
N20000015,0.749639,0.018035,0.013286,0.011615,0.114936,0.004588,0.002000,0.049840,0.036061
N20000016,0.314096,0.147538,0.182851,0.077586,0.145718,0.030445,0.036770,0.036278,0.028717
N20000017,0.692625,0.036480,0.027200,0.022064,0.124337,0.008790,0.004595,0.047698,0.036211
N20000018,0.580795,0.029851,0.059449,0.021198,0.191300,0.007007,0.010255,0.056472,0.043674
N20000019,0.242832,0.393429,0.081588,0.107878,0.046994,0.083007,0.013589,0.017430,0.013255
N20000020,0.384696,0.206069,0.109613,0.094641,0.088308,0.048587,0.014905,0.029468,0.023713
N20000021,0.522083,0.045373,0.110473,0.033500,0.171625,0.010832,0.017450,0.049290,0.039372
N20000022,0.716414,0.015230,0.005911,0.010223,0.149851,0.004852,0.001150,0.055500,0.040870
N20000023,0.392791,0.122852,0.156602,0.075124,0.134184,0.027787,0.024447,0.036003,0.030211
N20000024,0.711691,0.043451,0.011895,0.026565,0.111758,0.015717,0.001668,0.042798,0.034458
N20000025,0.239256,0.225091,0.186772,0.136622,0.088539,0.054735,0.025250,0.023792,0.019942
N20000026,0.017355,0.462913,0.114259,0.251294,0.006128,0.133681,0.011329,0.001565,0.001476
N20000027,0.192073,0.170849,0.339771,0.090297,0.080548,0.038780,0.051198,0.019744,0.016739
N20000028,0.492038,0.137681,0.043217,0.091175,0.114186,0.047225,0.006172,0.037491,0.030814
N20000029,0.412015,0.134302,0.114972,0.087727,0.131387,0.031812,0.018321,0.038381,0.031082
N20000030,0.032037,0.372803,0.235481,0.214211,0.016536,0.094373,0.027453,0.003726,0.003378
N20000031,0.013617,0.381851,0.288497,0.187133,0.006559,0.085593,0.033875,0.001492,0.001383
N20000032,0.605783,0.030232,0.048241,0.024326,0.181289,0.007853,0.008743,0.051455,0.042078
N20000033,0.719787,0.025229,0.010054,0.019702,0.130088,0.008353,0.001551,0.047433,0.037803
N20000034,0.656390,0.032685,0.032454,0.025169,0.148473,0.009321,0.005298,0.050498,0.039714
N20000035,0.243684,0.249795,0.188022,0.114683,0.081756,0.047132,0.033259,0.023218,0.018451
N20000036,0.302653,0.264754,0.132478,0.097056,0.086832,0.040433,0.027793,0.027386,0.020615
N20000037,0.291285,0.326566,0.117530,0.091971,0.059113,0.051165,0.023637,0.022406,0.016328
N20000038,0.101922,0.199806,0.429008,0.084254,0.053476,0.033108,0.075943,0.012318,0.010164
N20000039,0.133191,0.191994,0.375129,0.101226,0.075905,0.035510,0.056052,0.016792,0.014202
N20000040,0.400899,0.237841,0.082231,0.070556,0.095453,0.033223,0.021654,0.034241,0.023901
N20000041,0.154538,0.327357,0.184618,0.156563,0.057598,0.060955,0.029573,0.015894,0.012904
N20000042,0.101702,0.290861,0.334331,0.095516,0.045830,0.051502,0.059451,0.011612,0.009195
N20000043,0.141738,0.350725,0.203217,0.127705,0.053366,0.057934,0.038799,0.014838,0.011679
N20000044,0.160030,0.303287,0.192985,0.151730,0.070323,0.053990,0.034127,0.018656,0.014873
N20000045,0.250393,0.126887,0.295115,0.080656,0.124899,0.022964,0.046312,0.028542,0.024230
N20000046,0.070802,0.534801,0.073232,0.186140,0.018062,0.095548,0.010599,0.006022,0.004793
N20000047,0.093568,0.358103,0.219918,0.181970,0.029330,0.072565,0.029266,0.008186,0.007093
N20000048,0.263285,0.199429,0.199100,0.105624,0.110320,0.038439,0.031158,0.029168,0.023477
N20000049,0.367240,0.148705,0.176339,0.072201,0.116927,0.027414,0.028405,0.035497,0.027272
N20000050,0.065780,0.478198,0.154034,0.169515,0.021468,0.075660,0.023629,0.006541,0.005174
N20000051,0.524611,0.085717,0.101309,0.037242,0.137964,0.015224,0.019448,0.044715,0.033769
N20000052,0.130346,0.452985,0.106581,0.165878,0.032263,0.077255,0.014780,0.011163,0.008748
N20000053,0.254219,0.197539,0.262555,0.091387,0.079452,0.030579,0.042107,0.023565,0.018597
N20000054,0.080316,0.492201,0.105174,0.193098,0.021610,0.079064,0.016003,0.006929,0.005607
N20000055,0.082662,0.493143,0.121509,0.173626,0.022227,0.075652,0.017959,0.007406,0.005815
N20000056,0.157965,0.388557,0.181644,0.120999,0.037931,0.062282,0.027708,0.012838,0.010077
N20000057,0.236859,0.219133,0.212162,0.119196,0.090935,0.043034,0.035649,0.023505,0.019526
N20000058,0.088750,0.502967,0.121201,0.153017,0.021428,0.083821,0.015939,0.007077,0.005799
N20000059,0.307453,0.114985,0.279015,0.044967,0.123469,0.015582,0.054133,0.034395,0.026001
N20000060,0.167241,0.297342,0.193818,0.170576,0.051502,0.067389,0.025202,0.014514,0.012416
N20000061,0.091551,0.468872,0.140592,0.154485,0.028163,0.079873,0.021068,0.008524,0.006872
N20000062,0.074177,0.554917,0.082035,0.153572,0.018506,0.093791,0.011568,0.006430,0.005004
N20000063,0.197121,0.279513,0.230666,0.103058,0.066565,0.042446,0.047310,0.018538,0.014784
N20000064,0.132772,0.328060,0.193643,0.176265,0.049858,0.066454,0.028019,0.013681,0.011248
N20000065,0.184893,0.240966,0.238789,0.143972,0.071516,0.053037,0.033073,0.018075,0.015679
N20000066,0.339635,0.129553,0.262089,0.053104,0.097898,0.021429,0.042206,0.030455,0.023630
N20000067,0.302677,0.228849,0.194070,0.092565,0.071691,0.037024,0.028649,0.025185,0.019289
N20000068,0.224767,0.348465,0.090244,0.152141,0.060819,0.074744,0.012712,0.020411,0.015696
N20000069,0.131656,0.337528,0.179689,0.191065,0.038895,0.078691,0.022616,0.010457,0.009403
N20000070,0.106700,0.318934,0.211769,0.213962,0.039337,0.063479,0.026471,0.010375,0.008972
N20000071,0.205273,0.212416,0.262728,0.103330,0.093353,0.033171,0.047632,0.023346,0.018751
N20000072,0.066804,0.230566,0.413644,0.129012,0.039235,0.047060,0.058110,0.008259,0.007310
N20000073,0.060419,0.504341,0.100796,0.199361,0.016650,0.097223,0.011668,0.005162,0.004380
N20000074,0.056832,0.541605,0.062986,0.196303,0.014341,0.110682,0.008569,0.004807,0.003875
N20000075,0.128197,0.369722,0.163678,0.173160,0.043689,0.074139,0.025177,0.012188,0.010051
N20000076,0.207742,0.197649,0.291268,0.090993,0.084469,0.034695,0.053537,0.021919,0.017729
N20000077,0.120900,0.407718,0.136822,0.180492,0.035334,0.080200,0.018890,0.010787,0.008858
N20000078,0.091891,0.489452,0.087946,0.194726,0.024291,0.084720,0.012759,0.007803,0.006412
N20000079,0.032369,0.567397,0.058580,0.214288,0.006634,0.109735,0.006618,0.002380,0.001998
N20000080,0.067905,0.352037,0.245602,0.183953,0.030277,0.070296,0.035926,0.007562,0.006443
N20000081,0.100807,0.452476,0.104353,0.196426,0.026687,0.089539,0.014411,0.008406,0.006895
N20000082,0.042018,0.564498,0.060703,0.192671,0.009034,0.118115,0.007044,0.003262,0.002653
N20000083,0.129016,0.410951,0.103895,0.204969,0.028674,0.092307,0.012458,0.009624,0.008103
N20000084,0.174889,0.318981,0.146453,0.174239,0.060998,0.072601,0.019688,0.017748,0.014403
N20000085,0.063101,0.332087,0.267799,0.202594,0.024075,0.063912,0.034947,0.006077,0.005409
N20000086,0.009181,0.422988,0.207664,0.225668,0.003821,0.107978,0.020912,0.000923,0.000865
N20000087,0.012469,0.399279,0.220304,0.199338,0.004919,0.141005,0.020358,0.001191,0.001136
N20000088,0.011732,0.387014,0.276210,0.178508,0.005947,0.108981,0.029048,0.001337,0.001223
N20000089,0.012412,0.411374,0.239821,0.184053,0.005199,0.121595,0.023127,0.001264,0.001156
N20000090,0.015019,0.378439,0.255920,0.215005,0.006314,0.098568,0.027808,0.001520,0.001407
N20000091,0.012351,0.412750,0.227982,0.195677,0.004437,0.122908,0.021769,0.001082,0.001043
N20000092,0.015566,0.417841,0.199228,0.226170,0.006348,0.109368,0.022449,0.001597,0.001433
N20000093,0.020328,0.534283,0.056410,0.264552,0.004934,0.110223,0.006195,0.001678,0.001396
N20000094,0.004853,0.143778,0.666966,0.072811,0.002621,0.042735,0.065184,0.000532,0.000520
N20000095,0.041536,0.573775,0.065702,0.195195,0.009713,0.099196,0.008602,0.003502,0.002778
N20000096,0.017654,0.493418,0.091175,0.256943,0.004181,0.125082,0.009066,0.001292,0.001190
N20000097,0.012672,0.388908,0.247161,0.218133,0.004333,0.101746,0.024866,0.001131,0.001050
N20000098,0.014395,0.511505,0.099191,0.237915,0.004196,0.119896,0.010532,0.001263,0.001107
N20000099,0.016262,0.460232,0.117356,0.263148,0.004835,0.124479,0.011103,0.001321,0.001263
N20000100,0.012011,0.432189,0.147782,0.262718,0.004278,0.125051,0.013873,0.001074,0.001024
N20000101,0.006572,0.389860,0.275751,0.192154,0.002767,0.104588,0.027020,0.000666,0.000622
N20000102,0.027495,0.417935,0.219677,0.203495,0.010220,0.089773,0.026408,0.002627,0.002368
N20000103,0.030727,0.523930,0.105446,0.215230,0.008740,0.097954,0.013034,0.002645,0.002294
N20000104,0.031376,0.543834,0.133002,0.178139,0.008485,0.083676,0.016438,0.002776,0.002274
N20000105,0.033284,0.504343,0.149993,0.195766,0.008845,0.085073,0.017620,0.002711,0.002365
N20000106,0.015790,0.429569,0.201065,0.231607,0.006350,0.089502,0.023023,0.001645,0.001449
N20000107,0.028528,0.526427,0.113895,0.192505,0.008687,0.109681,0.015356,0.002720,0.002200
N20000108,0.038371,0.538889,0.110340,0.194019,0.009608,0.089331,0.013645,0.003161,0.002636
N20000109,0.010998,0.424480,0.168262,0.252881,0.004275,0.119844,0.017204,0.001066,0.000990
N20000110,0.011050,0.454838,0.118865,0.284559,0.003292,0.113952,0.011654,0.000930,0.000860
N20000111,0.020701,0.460476,0.119353,0.266035,0.007292,0.109553,0.012845,0.001984,0.001760
N20000112,0.023086,0.556629,0.034991,0.258151,0.004231,0.116339,0.003705,0.001538,0.001332
N20000113,0.017239,0.409721,0.245954,0.183643,0.006280,0.108917,0.025118,0.001648,0.001480
N20000114,0.014528,0.433541,0.184677,0.231193,0.005510,0.108008,0.019852,0.001407,0.001284
N20000115,0.017636,0.477313,0.099912,0.250024,0.006071,0.135112,0.010799,0.001659,0.001474
N20000116,0.022904,0.472752,0.144948,0.231387,0.007271,0.099628,0.017322,0.001991,0.001797
N20000117,0.013761,0.462949,0.126829,0.273742,0.005433,0.101474,0.013173,0.001375,0.001265
N20000118,0.012918,0.459593,0.159946,0.245496,0.004687,0.097340,0.017624,0.001271,0.001126
N20000119,0.020551,0.429971,0.200833,0.229171,0.008449,0.083535,0.023496,0.002097,0.001898
N20000120,0.017783,0.460899,0.117544,0.250279,0.007414,0.129631,0.012952,0.001832,0.001666
N20000121,0.022626,0.441933,0.165755,0.205666,0.008966,0.133519,0.017215,0.002272,0.002048
N20000122,0.013765,0.413358,0.198073,0.230402,0.007678,0.111033,0.022461,0.001696,0.001535
N20000123,0.009659,0.443691,0.159229,0.247369,0.004750,0.115537,0.017614,0.001141,0.001010
N20000124,0.016933,0.399383,0.293899,0.161569,0.008113,0.083953,0.032460,0.001958,0.001732
N20000125,0.017074,0.464305,0.108978,0.253997,0.005818,0.135531,0.011303,0.001566,0.001428
N20000126,0.016123,0.170760,0.586887,0.102356,0.011220,0.030595,0.077964,0.002110,0.001985
N20000127,0.017285,0.572798,0.062382,0.210168,0.004473,0.123806,0.006407,0.001441,0.001239
N20000128,0.016117,0.318685,0.376865,0.162445,0.009581,0.064215,0.048123,0.002106,0.001863
N20000129,0.037996,0.578645,0.069245,0.193862,0.008847,0.096767,0.008937,0.003182,0.002519
N20000130,0.016496,0.413325,0.253704,0.192286,0.006556,0.084020,0.030393,0.001724,0.001496
N20000131,0.041482,0.561995,0.045400,0.220937,0.009327,0.109133,0.005761,0.003274,0.002691
N20000132,0.014659,0.064883,0.718987,0.038618,0.017999,0.009918,0.129639,0.002790,0.002507
N20000133,0.012836,0.402526,0.271342,0.184734,0.005403,0.089737,0.030856,0.001355,0.001212
N20000134,0.028878,0.183769,0.534904,0.107153,0.019504,0.037358,0.081066,0.003906,0.003463
N20000135,0.025727,0.400530,0.217444,0.224282,0.010145,0.092072,0.024977,0.002538,0.002285
N20000136,0.020350,0.435575,0.171224,0.245250,0.009239,0.093059,0.021047,0.002272,0.001985
N20000137,0.018041,0.365072,0.293074,0.199974,0.007036,0.081232,0.032252,0.001724,0.001595
N20000138,0.013160,0.535328,0.095722,0.217356,0.003328,0.123452,0.009670,0.001055,0.000929
N20000139,0.018828,0.402927,0.208440,0.243642,0.007204,0.093200,0.022268,0.001831,0.001659
N20000140,0.031515,0.110096,0.608215,0.045971,0.030270,0.016317,0.147949,0.005237,0.004429
N20000141,0.030680,0.276682,0.429063,0.124160,0.017401,0.051886,0.063012,0.003772,0.003344
N20000142,0.018399,0.649606,0.070212,0.150501,0.004099,0.096121,0.008299,0.001538,0.001225
N20000143,0.024480,0.157075,0.566682,0.106269,0.020757,0.025452,0.092384,0.003593,0.003308
N20000144,0.033292,0.468473,0.128964,0.249907,0.009670,0.086788,0.017642,0.002815,0.002448
N20000145,0.022547,0.622180,0.069111,0.174145,0.005603,0.094139,0.008586,0.002084,0.001605
N20000146,0.031653,0.611404,0.095304,0.152775,0.006864,0.085605,0.011860,0.002502,0.002033
N20000147,0.035772,0.595974,0.048744,0.200480,0.008970,0.097553,0.006798,0.003196,0.002513
N20000148,0.028410,0.498848,0.080384,0.250853,0.009014,0.118640,0.009014,0.002574,0.002263
N20000149,0.028167,0.207485,0.503470,0.122715,0.018536,0.033312,0.079208,0.003774,0.003332
N20000150,0.014362,0.641784,0.089095,0.149407,0.003066,0.091027,0.009177,0.001147,0.000937
N20000151,0.035835,0.491690,0.099743,0.246891,0.010674,0.097425,0.011724,0.003251,0.002767
N20000152,0.049982,0.229128,0.433572,0.117248,0.037485,0.037161,0.081321,0.007694,0.006408
N20000153,0.021378,0.569630,0.060045,0.225843,0.004428,0.109187,0.006589,0.001575,0.001326
N20000154,0.025596,0.610892,0.051020,0.193124,0.005819,0.103495,0.006232,0.002115,0.001707
N20000155,0.024545,0.590190,0.102649,0.181164,0.005366,0.080065,0.012546,0.001899,0.001576
N20000156,0.028413,0.437304,0.209902,0.194653,0.009809,0.089054,0.025765,0.002731,0.002369
N20000157,0.048098,0.452684,0.129365,0.226841,0.014610,0.105142,0.015357,0.004212,0.003691
N20000158,0.019782,0.161068,0.575283,0.093104,0.016702,0.025151,0.103236,0.002989,0.002684
N20000159,0.013930,0.687401,0.045263,0.158558,0.002791,0.084123,0.005915,0.001141,0.000876
N20000160,0.039574,0.235952,0.434351,0.137787,0.028041,0.050250,0.063603,0.005528,0.004915
N20000161,0.061942,0.261224,0.419859,0.106394,0.025576,0.047894,0.065609,0.006086,0.005416
N20000162,0.026726,0.225219,0.484478,0.127280,0.018406,0.041706,0.069357,0.003573,0.003254
N20000163,0.054299,0.461365,0.165852,0.175445,0.017023,0.092050,0.024928,0.004922,0.004116
N20000164,0.052725,0.254508,0.385928,0.154193,0.029054,0.052102,0.059285,0.006537,0.005668
N20000165,0.019735,0.456022,0.189448,0.213764,0.007003,0.086744,0.023834,0.001829,0.001620
N20000166,0.024395,0.107520,0.640492,0.063661,0.027643,0.016641,0.111376,0.004347,0.003924
N20000167,0.016437,0.089728,0.702280,0.052450,0.014931,0.015520,0.103784,0.002537,0.002334
N20000168,0.017863,0.531640,0.087347,0.252089,0.005197,0.091703,0.011225,0.001589,0.001349
N20000169,0.427281,0.128925,0.123906,0.066851,0.133736,0.023419,0.021305,0.042803,0.031775
N20000170,0.020812,0.510866,0.190911,0.166515,0.007395,0.071769,0.027856,0.002121,0.001756
N20000171,0.031231,0.474591,0.204912,0.170895,0.009765,0.077763,0.025522,0.002890,0.002431
N20000172,0.155746,0.154333,0.399908,0.071147,0.079792,0.023926,0.081284,0.018688,0.015176
N20000173,0.179172,0.162970,0.325157,0.115894,0.093330,0.035287,0.049091,0.020928,0.018172
N20000174,0.016952,0.632071,0.047418,0.174680,0.003166,0.118551,0.004939,0.001210,0.001014
N20000175,0.080731,0.475685,0.135126,0.163452,0.027606,0.078247,0.024784,0.007977,0.006392
N20000176,0.030927,0.511071,0.140520,0.201142,0.008890,0.084430,0.018072,0.002647,0.002302
N20000177,0.131602,0.112206,0.472271,0.054071,0.084542,0.017697,0.094760,0.018203,0.014648
N20000178,0.400478,0.156033,0.139117,0.081328,0.109633,0.029543,0.022963,0.033801,0.027104
N20000179,0.035202,0.484541,0.169065,0.190307,0.010959,0.081361,0.022621,0.003248,0.002698
N20000180,0.014634,0.638536,0.043864,0.182036,0.003125,0.110796,0.004903,0.001160,0.000947
N20000181,0.020681,0.610152,0.074252,0.194008,0.004570,0.084498,0.008839,0.001654,0.001347
N20000182,0.020968,0.624659,0.058834,0.183229,0.004459,0.097439,0.007404,0.001669,0.001337
N20000183,0.016509,0.623930,0.085108,0.165468,0.004320,0.092078,0.009956,0.001430,0.001200
N20000184,0.023993,0.606784,0.095389,0.177558,0.006307,0.072456,0.013610,0.002177,0.001726
N20000185,0.031798,0.512252,0.151158,0.178217,0.009596,0.090446,0.021354,0.002812,0.002367
N20000186,0.101601,0.356122,0.218750,0.167930,0.035954,0.066880,0.034349,0.010203,0.008210
N20000187,0.017569,0.644042,0.039939,0.194176,0.002996,0.094351,0.004712,0.001228,0.000988
N20000188,0.036123,0.245405,0.429942,0.148605,0.022456,0.043433,0.065125,0.004747,0.004163
N20000189,0.017049,0.631629,0.044275,0.194294,0.003436,0.101597,0.005301,0.001357,0.001061
N20000190,0.020597,0.597761,0.062632,0.195289,0.005306,0.107213,0.007906,0.001824,0.001472
N20000191,0.024802,0.529655,0.127739,0.189288,0.008527,0.099068,0.016421,0.002475,0.002025
N20000192,0.019565,0.524681,0.135242,0.208018,0.004355,0.091195,0.014191,0.001479,0.001274
N20000193,0.024023,0.607904,0.045385,0.205825,0.005290,0.102089,0.005860,0.002056,0.001568
N20000194,0.018621,0.648512,0.087389,0.143583,0.004435,0.083389,0.011152,0.001650,0.001269
N20000195,0.019169,0.620678,0.045031,0.199378,0.004207,0.103009,0.005627,0.001642,0.001259
N20000196,0.016846,0.593672,0.076572,0.197543,0.003927,0.100203,0.008712,0.001393,0.001133
N20000197,0.013865,0.575036,0.105485,0.213216,0.003451,0.073460,0.013332,0.001191,0.000966
N20000198,0.016869,0.549932,0.157609,0.173508,0.005369,0.075228,0.018498,0.001631,0.001355
N20000199,0.018310,0.615354,0.053070,0.199519,0.003799,0.100945,0.006389,0.001458,0.001155
N20000200,0.011219,0.556373,0.122019,0.209960,0.003323,0.080298,0.014908,0.001034,0.000865
N20000201,0.262900,0.316188,0.093648,0.130878,0.076566,0.058869,0.015766,0.025912,0.019274
N20000202,0.015105,0.616027,0.062923,0.215504,0.003476,0.076386,0.008293,0.001281,0.001004
N20000203,0.143794,0.247282,0.307279,0.107228,0.068515,0.036153,0.059345,0.016844,0.013560
N20000204,0.125740,0.289138,0.281467,0.117417,0.058289,0.044347,0.057011,0.014815,0.011775
N20000205,0.067564,0.351095,0.282943,0.163174,0.027221,0.051754,0.042878,0.007361,0.006011
