code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20000001,0.033689,0.422299,0.093712,0.253556,0.010140,0.175861,0.007129,0.001196,0.002417
N20000002,0.015577,0.436117,0.093246,0.277818,0.005558,0.162840,0.006956,0.000632,0.001255
N20000003,0.039750,0.459362,0.035921,0.244246,0.011185,0.202283,0.003082,0.001449,0.002722
N20000004,0.241594,0.153528,0.270989,0.114281,0.107686,0.052388,0.027752,0.010991,0.020793
N20000005,0.021706,0.409068,0.079869,0.316064,0.006729,0.158189,0.005987,0.000788,0.001602
N20000006,0.211375,0.255573,0.138015,0.179411,0.078022,0.099252,0.013117,0.008741,0.016493
N20000007,0.739422,0.027569,0.015904,0.028702,0.121296,0.010771,0.001608,0.020034,0.034693
N20000008,0.383302,0.146078,0.130472,0.132118,0.103711,0.055972,0.011686,0.012385,0.024275
N20000009,0.056048,0.407551,0.063495,0.272555,0.017275,0.171561,0.005348,0.002105,0.004061
N20000010,0.020393,0.377485,0.193717,0.260761,0.009101,0.119421,0.016331,0.000932,0.001859
N20000011,0.089827,0.495437,0.041185,0.218405,0.017361,0.125818,0.004324,0.002824,0.004819
N20000012,0.063522,0.419323,0.110971,0.246862,0.017524,0.125550,0.009929,0.002150,0.004170
N20000013,0.116901,0.339858,0.092589,0.272544,0.028373,0.130813,0.007987,0.003707,0.007226
N20000014,0.159127,0.267808,0.231837,0.166822,0.057758,0.074685,0.023160,0.006593,0.012210
N20000015,0.765791,0.014363,0.012775,0.013082,0.128523,0.004271,0.001507,0.023353,0.036335
N20000016,0.331989,0.121574,0.181914,0.090412,0.168594,0.029326,0.028665,0.017588,0.029939
N20000017,0.709591,0.029137,0.026229,0.024922,0.139437,0.008207,0.003472,0.022414,0.036592
N20000018,0.595244,0.023851,0.057349,0.023952,0.214612,0.006545,0.007752,0.026547,0.044149
N20000019,0.268780,0.339493,0.085001,0.131645,0.056938,0.083730,0.011094,0.008849,0.014471
N20000020,0.408510,0.170597,0.109561,0.110801,0.102648,0.047020,0.011674,0.014353,0.024837
N20000021,0.537995,0.036451,0.107153,0.038060,0.193591,0.010172,0.013263,0.023297,0.040018
N20000022,0.730892,0.012113,0.005676,0.011499,0.167346,0.004511,0.000865,0.025971,0.041127
N20000023,0.411152,0.100253,0.154293,0.086696,0.153748,0.026507,0.018874,0.017286,0.031192
N20000024,0.728032,0.034652,0.011453,0.029961,0.125142,0.014652,0.001259,0.020081,0.034768
N20000025,0.255296,0.187247,0.187586,0.160725,0.103415,0.053226,0.019872,0.011644,0.020988
N20000026,0.019243,0.400139,0.119244,0.307186,0.007437,0.135077,0.009265,0.000796,0.001614
N20000027,0.206204,0.142994,0.343340,0.106877,0.094657,0.037941,0.040540,0.009722,0.017725
N20000028,0.512142,0.111722,0.042340,0.104628,0.130098,0.044796,0.004738,0.017899,0.031635
N20000029,0.430869,0.109494,0.113170,0.101146,0.150401,0.030318,0.014131,0.018410,0.032061
N20000030,0.035210,0.319423,0.243599,0.259559,0.019893,0.094522,0.022254,0.001878,0.003662
N20000031,0.015107,0.330259,0.301256,0.228886,0.007965,0.086536,0.027718,0.000759,0.001513
N20000032,0.618946,0.024081,0.046394,0.027402,0.202756,0.007312,0.006589,0.024114,0.042405
N20000033,0.733849,0.020053,0.009648,0.022146,0.145180,0.007761,0.001166,0.022181,0.038015
N20000034,0.671549,0.026070,0.031253,0.028390,0.166276,0.008691,0.003998,0.023697,0.040077
N20000035,0.267790,0.192327,0.192054,0.140017,0.114077,0.046691,0.020282,0.010656,0.016107
N20000036,0.332932,0.204052,0.135457,0.118617,0.121284,0.040096,0.016966,0.012582,0.018014
N20000037,0.327973,0.257620,0.123003,0.115050,0.084511,0.051933,0.014769,0.010536,0.014604
N20000038,0.114856,0.157755,0.449366,0.105486,0.076517,0.033634,0.047491,0.005797,0.009098
N20000039,0.146906,0.148368,0.384586,0.124043,0.106303,0.035308,0.034308,0.007735,0.012443
