code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20001091,0.113242,0.405787,0.151494,0.144463,0.053137,0.071947,0.032945,0.016494,0.010491
N20001092,0.017552,0.587864,0.039859,0.228390,0.005913,0.109861,0.006907,0.002237,0.001417
N20001093,0.016886,0.606309,0.023355,0.228600,0.005381,0.111944,0.004093,0.002104,0.001327
N20001094,0.569686,0.035631,0.044972,0.018255,0.196519,0.007615,0.010915,0.072235,0.044172
N20001095,0.039530,0.547417,0.075471,0.209632,0.015381,0.089300,0.014534,0.005349,0.003387
N20001096,0.054853,0.471763,0.144813,0.182969,0.021280,0.084592,0.027763,0.007293,0.004673
N20001097,0.057046,0.563540,0.060341,0.179651,0.019664,0.095857,0.012032,0.007302,0.004568
N20001098,0.043292,0.459961,0.197099,0.147719,0.021233,0.079897,0.040219,0.006460,0.004120
N20001099,0.200459,0.155593,0.313294,0.056351,0.116323,0.023813,0.081882,0.032147,0.020139
N20001100,0.053946,0.486243,0.173078,0.137751,0.025833,0.071727,0.038403,0.008005,0.005015
N20001101,0.314169,0.292463,0.047508,0.124199,0.089592,0.063325,0.009817,0.036354,0.022571
N20001102,0.181305,0.315959,0.173593,0.107114,0.086601,0.048167,0.044435,0.026334,0.016492
N20001103,0.318156,0.107209,0.172379,0.035979,0.209113,0.015672,0.053974,0.054238,0.033280
N20001104,0.055907,0.520140,0.102414,0.181702,0.019578,0.088420,0.020222,0.007119,0.004498
N20001105,0.324769,0.133533,0.152540,0.057440,0.183683,0.024719,0.038982,0.051959,0.032376
N20001106,0.079191,0.320647,0.320473,0.095490,0.041247,0.051006,0.072304,0.012020,0.007622
N20001107,0.354307,0.060733,0.143777,0.025274,0.260662,0.009791,0.041636,0.064025,0.039795
N20001108,0.116712,0.308434,0.273701,0.084901,0.071445,0.043336,0.069920,0.019440,0.012112
N20001109,0.615700,0.050800,0.026794,0.024221,0.155961,0.011529,0.005934,0.068005,0.041056
N20001110,0.290037,0.085731,0.247757,0.035648,0.182754,0.015072,0.064501,0.048188,0.030312
N20001111,0.065257,0.483226,0.133498,0.173316,0.023434,0.080891,0.026848,0.008249,0.005280
N20001112,0.311422,0.135628,0.156775,0.048577,0.196089,0.020696,0.046296,0.052303,0.032213
N20001113,0.447428,0.075879,0.076216,0.035574,0.221828,0.014354,0.019773,0.067343,0.041604
N20001114,0.468441,0.064108,0.057127,0.027319,0.239319,0.011850,0.016173,0.071900,0.043764
N20001115,0.219447,0.117203,0.288781,0.045888,0.166572,0.020140,0.076642,0.039983,0.025344
