code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20000001,0.035365,0.478963,0.087670,0.203805,0.009293,0.171138,0.008627,0.002636,0.002502
N20000002,0.015550,0.496403,0.089831,0.222775,0.004840,0.159373,0.008664,0.001327,0.001237
N20000003,0.041986,0.513876,0.035635,0.193910,0.010338,0.194235,0.003955,0.003224,0.002842
N20000004,0.246493,0.172247,0.258596,0.094008,0.098640,0.050970,0.033845,0.023992,0.021209
N20000005,0.023258,0.468750,0.078967,0.255905,0.006340,0.155666,0.007635,0.001780,0.001700
N20000006,0.216347,0.286782,0.131637,0.146100,0.071083,0.096142,0.016053,0.019043,0.016813
N20000007,0.727153,0.033040,0.015571,0.025232,0.108773,0.011038,0.002011,0.042677,0.034504
N20000008,0.389493,0.164458,0.122885,0.108319,0.094774,0.054275,0.014103,0.026978,0.024715
N20000009,0.058321,0.462051,0.061100,0.220229,0.015785,0.167085,0.006636,0.004614,0.004180
N20000010,0.020545,0.430063,0.188441,0.211290,0.008052,0.117325,0.020448,0.001982,0.001854
N20000011,0.083242,0.554965,0.039965,0.172409,0.014395,0.119461,0.005447,0.005630,0.004487
N20000012,0.061341,0.473537,0.108994,0.198630,0.015070,0.121409,0.012559,0.004434,0.004027
N20000013,0.118472,0.390421,0.089233,0.222834,0.025375,0.128510,0.009922,0.007961,0.007272
N20000014,0.148158,0.307970,0.228980,0.138709,0.048412,0.073815,0.029293,0.013221,0.011441
N20000015,0.747895,0.017342,0.013100,0.011629,0.116877,0.004408,0.001973,0.050372,0.036404
N20000016,0.330087,0.129148,0.183560,0.071080,0.154037,0.027039,0.036921,0.038024,0.030106
N20000017,0.697510,0.033703,0.025281,0.021155,0.125582,0.008118,0.004296,0.047963,0.036392
N20000018,0.584382,0.027304,0.056260,0.020409,0.194599,0.006480,0.009687,0.056865,0.044014
N20000019,0.253871,0.381178,0.084073,0.106101,0.048488,0.080251,0.014239,0.018054,0.013745
N20000020,0.392229,0.198540,0.109973,0.093437,0.089801,0.046875,0.015047,0.029937,0.024160
N20000021,0.529991,0.041291,0.104290,0.032032,0.176007,0.009989,0.016441,0.049956,0.040003
N20000022,0.721330,0.012447,0.005258,0.008784,0.150770,0.003983,0.001024,0.055553,0.040850
N20000023,0.406886,0.112843,0.151997,0.071806,0.138759,0.025778,0.023713,0.037055,0.031162
N20000024,0.720598,0.038714,0.010831,0.024549,0.112256,0.013989,0.001524,0.042906,0.034633
N20000025,0.250383,0.217268,0.181552,0.135731,0.091798,0.053360,0.024642,0.024555,0.020710
N20000026,0.019404,0.459422,0.116207,0.249830,0.006562,0.133650,0.011626,0.001690,0.001610
N20000027,0.193555,0.168380,0.338908,0.092184,0.080601,0.038716,0.051249,0.019651,0.016758
N20000028,0.520344,0.120258,0.040033,0.082087,0.118969,0.041450,0.005744,0.038964,0.032151
N20000029,0.426351,0.123501,0.111719,0.083745,0.135901,0.029480,0.017798,0.039460,0.032044
N20000030,0.035827,0.364281,0.239596,0.212980,0.018006,0.093502,0.028035,0.004061,0.003712
N20000031,0.013942,0.376471,0.294210,0.186358,0.006517,0.084976,0.034639,0.001494,0.001393
N20000032,0.611384,0.026236,0.046111,0.022325,0.184499,0.006896,0.008300,0.051836,0.042413
N20000033,0.726795,0.021562,0.009008,0.017560,0.131059,0.007163,0.001393,0.047515,0.037945
N20000034,0.663618,0.028519,0.029915,0.023010,0.150963,0.008186,0.004872,0.050866,0.040051
N20000035,0.244566,0.240368,0.197146,0.113634,0.081966,0.045613,0.035006,0.023215,0.018487
N20000036,0.303508,0.257419,0.137719,0.096892,0.087659,0.039351,0.029231,0.027502,0.020719
N20000037,0.296624,0.313498,0.125618,0.089596,0.060641,0.048712,0.025626,0.022974,0.016710
N20000038,0.101996,0.194437,0.433558,0.084758,0.053291,0.032590,0.077066,0.012194,0.010111
N20000039,0.141962,0.183202,0.371851,0.099889,0.080258,0.034420,0.055685,0.017696,0.015036
N20000040,0.411312,0.222182,0.085852,0.067867,0.098929,0.031054,0.022953,0.035287,0.024564
N20000041,0.160334,0.317426,0.188380,0.155262,0.059250,0.059411,0.030365,0.016279,0.013293
N20000042,0.100781,0.284806,0.341096,0.095919,0.044855,0.050893,0.061305,0.011328,0.009017
N20000043,0.149931,0.335717,0.208775,0.125651,0.055841,0.056050,0.040360,0.015454,0.012221
N20000044,0.169356,0.291515,0.193949,0.149823,0.073577,0.052276,0.034492,0.019441,0.015572
N20000045,0.252955,0.121931,0.295990,0.080727,0.126441,0.022368,0.046367,0.028735,0.024485
N20000046,0.077119,0.525687,0.076899,0.183936,0.019337,0.094049,0.011322,0.006473,0.005176
N20000047,0.098183,0.348146,0.225779,0.180391,0.030349,0.071090,0.030216,0.008468,0.007379
N20000048,0.276888,0.186658,0.196669,0.101976,0.115604,0.036312,0.030886,0.030429,0.024578
N20000049,0.367429,0.142561,0.180740,0.071764,0.118567,0.026510,0.029183,0.035743,0.027503
N20000050,0.068744,0.463211,0.167749,0.166314,0.022272,0.073536,0.025952,0.006817,0.005404
N20000051,0.526565,0.077876,0.105193,0.035291,0.141206,0.013909,0.020236,0.045471,0.034253
N20000052,0.136628,0.440719,0.113545,0.163544,0.033548,0.075319,0.015897,0.011645,0.009157
N20000053,0.253496,0.186001,0.274865,0.088990,0.080840,0.029053,0.044191,0.023776,0.018788
N20000054,0.085396,0.480023,0.113798,0.190069,0.022919,0.076995,0.017474,0.007354,0.005972
N20000055,0.088379,0.481199,0.128978,0.170584,0.023660,0.073752,0.019320,0.007907,0.006222
N20000056,0.164769,0.374005,0.190369,0.117989,0.039522,0.059927,0.029485,0.013404,0.010529
N20000057,0.245700,0.203405,0.219385,0.114983,0.094645,0.040451,0.036906,0.024285,0.020240
N20000058,0.096078,0.489263,0.128889,0.150145,0.022976,0.081590,0.017179,0.007617,0.006262
N20000059,0.311347,0.103793,0.283513,0.042372,0.127715,0.014225,0.055127,0.035280,0.026629
N20000060,0.178529,0.283794,0.197313,0.166779,0.054392,0.064954,0.025787,0.015298,0.013155
N20000061,0.098766,0.449811,0.153635,0.150911,0.030078,0.077055,0.023220,0.009141,0.007383
N20000062,0.081533,0.541643,0.088968,0.150958,0.020048,0.091638,0.012729,0.007012,0.005471
