code,index
N20000320,0.80840
N20000321,0.95418
N20000322,0.92016
N20000323,0.95642
N20000324,0.87614
N20000325,1.00997
N20000326,0.77631
N20000327,0.96323
N20000328,0.99868
N20000329,1.10547
N20000330,1.06074
N20000331,1.19784
N20000332,1.11783
N20000333,0.89315
N20000334,1.06098
N20000335,1.17099
N20000336,1.13536
N20000337,1.16992
N20000338,1.05124
N20000339,1.04716
N20000340,1.10697
N20000341,1.11637
N20000342,1.11356
N20000343,1.13116
N20000344,1.12781
N20000345,1.18653
N20000346,1.08521
N20000347,1.15196
N20000348,1.09353
N20000349,1.01261
N20000350,1.00876
N20000351,0.94143
N20000352,0.96904
N20000353,1.16011
N20000354,1.20826
N20000355,1.17736
N20000356,1.04130
N20000357,0.99826
N20000358,1.05018
N20000359,0.92703
N20000360,1.12021
N20000361,1.09682
N20000362,0.93875
N20000363,1.02540
N20000364,1.05248
N20000365,1.01441
N20000366,1.00240
N20000367,1.07991
N20000368,0.87679
N20000369,1.05981
N20000370,1.18178
N20000371,0.95444
N20000372,1.16336
N20000373,1.04233
N20000374,0.97817
N20000375,0.83490
N20000376,0.81474
N20000377,0.89638
N20000378,1.11604
N20000379,0.84252
N20000380,1.06228
N20000381,0.96924
N20000382,0.89560
N20000383,0.99287
N20000384,0.93713
N20000385,0.77009
N20000386,0.87691
N20000387,0.84418
N20000388,0.77330
N20000389,0.86246
N20000390,0.77009
N20000391,0.78369
N20000392,0.80032
N20000393,0.91437
N20000394,0.80889
N20000395,0.81809
N20000396,0.77009
N20000397,0.99481
N20000398,0.82386
N20000399,0.77009
N20000400,0.80635
N20000401,1.16921
N20000402,0.87624
N20000403,0.82223
N20000404,0.88327
N20000405,0.96848
N20000406,0.85861
N20000407,0.91745
N20000408,0.89384
N20000409,0.81206
N20000410,0.81442
N20000411,0.90423
N20000412,0.97944
N20000413,0.86850
N20000414,1.01251
N20000415,0.98277
N20000416,1.05458
N20000417,0.91560
N20000418,1.02433
N20000419,1.03013
N20000420,1.02436
N20000421,1.15040
N20000422,1.17146
N20000423,1.19551
N20000424,1.15902
N20000425,1.04490
N20000426,1.26419
N20000427,1.16630
N20000428,1.12798
N20000429,1.00773
N20000430,1.01206
N20000431,0.85953
N20000432,0.86378
N20000433,1.07577
N20000434,0.82219
N20000435,1.04584
N20000436,1.09187
N20000437,0.85265
N20000438,1.07909
N20000439,0.90775
N20000440,0.77508
N20000441,0.99537
N20000442,0.90212
N20000443,1.03454
N20000444,1.00649
N20000445,0.89283
N20000446,1.01420
N20000447,1.02142
N20000448,1.14601
N20000449,0.99865
N20000450,0.97683
N20000451,0.98248
N20000452,1.06293
N20000453,1.06733
N20000454,1.00450
N20000455,1.01408
N20000456,0.96504
N20000457,0.95355
N20000458,1.06899
N20000459,0.90517
N20000460,0.99504
N20000461,0.97089
N20000462,0.98670
N20000463,0.94994
N20000464,0.97973
N20000465,0.94285
N20000466,0.77121
N20000467,1.08627
N20000468,0.82981
N20000469,0.98105
N20000470,0.95201
N20000471,0.95198
N20000472,0.93360
N20000473,1.05328
N20000474,0.99038
N20000475,0.98229
N20000476,1.19681
N20000477,1.20921
N20000478,1.20994
N20000479,1.16916
N20000480,1.25296
N20000481,1.19794
N20000482,1.08621
N20000483,1.24151
N20000484,1.16739
N20000485,1.13781
N20000486,1.19791
N20000487,1.24674
N20000488,1.07147
N20000489,1.21040
N20000490,0.88154
N20000491,0.98154
N20000492,1.14059
N20000493,1.18153
N20000494,0.96488
N20000495,1.20926
N20000496,1.09655
N20000497,1.22730
N20000498,0.84398
N20000499,1.14873
N20000500,1.04354
N20000501,1.08704
N20000502,1.03509
N20000503,1.15220
N20000504,0.92372
N20000505,0.91677
N20000506,0.92456
N20000507,0.92167
N20000508,0.96226
N20000509,0.86541
N20000510,0.98479
N20000511,1.07044
N20000512,0.90771
N20000513,1.00620
N20000514,1.00190
N20000515,0.83039
N20000516,0.91180
N20000517,0.86672
N20000518,0.95033
N20000519,0.83680
N20000520,0.96126
N20000521,1.01600
N20000522,1.10667
N20000523,0.94167
N20000524,0.86868
N20000525,0.85998
N20000526,0.84779
N20000527,0.82543
N20000528,0.96401
N20000529,0.87609
N20000530,1.14456
N20000531,0.92733
N20000532,0.86631
N20000533,0.90497
N20000534,0.88153
N20000535,1.11558
N20000536,1.08815
N20000537,0.88737
N20000538,1.06489
N20000539,0.80024
N20000540,0.86221
N20000541,1.01672
N20000542,0.95078
N20000543,1.04961
N20000544,0.90047
N20000545,0.94472
N20000546,0.91560
N20000547,0.92916
N20000548,0.82581
N20000549,0.97127
N20000550,0.98970
N20000551,0.94138
N20000552,0.98664
N20000553,0.97746
N20000554,0.96959
N20000555,0.89678
N20000556,0.99594
N20000557,0.99304
N20000558,0.98566
N20000559,0.91369
N20000560,0.99826
N20000561,0.95556
N20000562,0.97928
N20000563,1.00670
N20000564,0.94599
N20000565,1.00570
N20000566,0.91042
N20000567,0.86818
N20000568,1.01387
N20000569,0.99751
N20000570,0.86422
N20000571,0.96310
N20000572,0.98914
N20000573,0.97430
N20000574,0.88638
N20000575,0.99034
N20000576,0.97641
N20000577,1.00566
N20000578,0.99346
N20000579,0.96916
N20000580,0.98081
N20000581,0.98001
N20000582,1.00733
N20000583,0.98000
N20000584,0.96442
N20000585,1.00515
N20000586,0.96304
N20000587,0.99123
N20000588,1.00652
N20000589,0.95298
N20000590,0.97324
N20000591,1.06994
N20000592,1.08581
N20000593,0.98098
N20000594,1.03477
N20000595,1.06387
N20000596,1.06022
N20000597,1.14041
N20000598,0.86002
N20000599,0.96505
N20000600,1.02228
N20000601,0.87563
N20000602,1.02974
N20000603,0.90332
N20000604,1.02040
N20000605,1.15485
N20000606,1.04358
N20000607,0.99167
N20000608,1.02125
N20000609,1.07164
N20000610,1.01631
N20000611,0.87811
N20000612,0.84712
N20000613,1.03512
N20000614,1.01867
N20000615,0.79317
N20000616,0.82612
N20000617,1.05025
N20000618,0.89884
N20000619,0.90085
N20000620,0.89721
N20000621,1.07074
N20000622,0.85185
N20000623,1.04636
N20000624,0.83445
N20000625,0.96923
N20000626,0.95129
N20000627,1.04217
N20000628,1.04962
N20000629,1.05619
N20000630,0.86909
N20000631,0.91189
N20000632,0.80790
N20000633,0.95801
N20000634,0.77009
N20000635,1.08182
N20000636,1.00646
N20000637,1.00537
N20000638,1.01581
N20000639,1.00609
N20000640,1.03428
N20000641,1.04005
N20000642,1.09848
N20000643,1.04671
N20000644,0.94569
N20000645,1.11135
N20000646,0.96170
N20000647,1.13181
N20000648,1.04900
N20000649,1.03404
N20000650,0.97317
N20000651,1.09012
N20000652,1.08706
N20000653,1.07251
N20000654,1.08499
N20000655,0.98624
N20000656,1.07804
N20000657,1.01759
N20000658,1.07296
N20000659,0.93458
N20000660,0.91710
N20000661,1.06546
N20000662,0.94555
N20000663,0.91498
N20000664,0.93067
N20000665,0.99479
N20000666,0.98621
N20000667,0.99113
N20000668,0.89799
N20000669,0.93870
N20000670,0.98926
N20000671,0.94920
N20000672,0.98731
N20000673,0.99016
N20000674,1.00363
N20000675,0.89378
N20000676,0.95286
N20000677,0.97249
N20000678,0.90293
N20000679,0.98362
N20000680,0.93132
N20000681,0.98681
N20000682,0.81319
N20000683,0.88529
N20000684,0.81053
N20000685,0.97563
N20000686,0.94251
N20000687,0.96148
N20000688,1.03230
N20000689,1.00527
N20000690,0.98479
N20000691,0.99373
N20000692,1.02871
N20000693,0.95613
N20000694,1.01483
N20000695,0.98706
N20000696,0.87630
N20000697,0.87832
N20000698,0.92215
N20000699,1.07742
N20000700,0.91473
N20000701,1.17439
N20000702,1.09960
N20000703,0.99579
N20000704,0.88915
N20000705,1.01642
N20000706,1.23484
N20000707,1.09488
N20000708,0.99107
N20000709,1.18305
N20000710,1.09509
N20000711,0.98460
N20000712,1.12277
N20000713,0.85018
N20000714,0.77009
N20000715,0.99859
N20000716,0.92216
N20000717,0.78693
N20000718,0.82443
N20000719,0.83863
N20000720,0.96105
N20000721,0.94537
N20000722,0.89375
N20000723,0.83323
N20000724,1.14822
